State,District,Number of operational holdings,Average size of operational holding (Ha),No. of cultivators using diesel pumps,No. of cultivators using electric pumps,image_url
Uttar Pradesh,Bijnor,352810,0.94,85741,17832,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Budaun,580284,0.74,207213,9821,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Bulandshahr,348757,0.8,77841,19960,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Chandauli,190964,0.71,70990,725,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Chitrakoot,157926,1.16,67305,4793,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Deoria,389473,0.54,100271,19601,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Etah,250620,0.75,62034,12978,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Etawah,209824,0.74,40889,246,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Faizabad,341062,0.48,99458,30480,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Farrukhabad,250329,0.69,76482,16965,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Fatehpur,401694,0.78,108687,34068,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Firozabad,178683,1.03,65306,16895,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Gautam Buddha Nagar,86293,0.82,19628,1124,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Ghaziabad,171245,0.83,44932,17031,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Ghazipur,416075,0.66,90488,7595,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Gonda,500051,0.62,158711,1375,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Gorakhpur,472913,0.54,141073,12742,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Hamirpur,199965,1.51,37934,11987,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Hardoi,608000,0.75,179749,1147,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Jalaun,251580,1.44,84045,17559,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Jaunpur,655695,0.45,115680,31154,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Jhansi,253781,1.31,75664,689,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Jyotiba Phule Nagar,193875,0.87,53153,22465,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kannauj,256445,0.57,68581,17478,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kanpur Dehat,298043,0.76,56768,18008,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kanpur Nagar,253044,0.73,30282,297,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kansiram Nagar,185040,0.75,32107,6522,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kaushambi,214512,0.66,64254,13620,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kheri,611571,0.82,154179,10109,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Kushinagar,462589,0.48,169346,3017,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Lalitpur,206904,1.5,80502,740,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Lucknow,245505,0.6,54887,325,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mahamaya Nagar,164093,0.96,51407,19166,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Maharajganj,386347,0.53,121566,2204,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mahoba,148307,1.51,33647,15297,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mainpuri,302565,0.68,113015,401,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mathura,176438,1.46,37743,8985,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mau,262039,0.52,77897,11666,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Meerut,208108,0.96,69417,6635,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Mirzapur,272556,0.86,26092,10035,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Moradabad,431069,0.72,142224,18362,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Muzaffarnagar,338402,0.95,113041,43025,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Pilibhit,221811,1.06,111504,3427,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Pratapgarh (UP),487382,0.55,149606,18558,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Rae Bareli,331553,0.65,64930,14888,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Rampur,206415,0.9,88229,3880,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Saharanpur,258386,1.07,57727,21780,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Sant Kabir Nagar,226143,0.58,79132,18914,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Sant Ravi Das Nagar(bhadohi),187042,0.41,4684,9016,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Shahjahanpur,408688,0.87,196336,11884,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Shrawasti,192899,0.7,39458,6800,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Siddharth Nagar,406217,0.61,136613,8874,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Sitapur,658947,0.69,185183,23915,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Sonbhadra,195666,1.16,63372,25522,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Sultanpur,382194,0.5,52093,9250,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Unnao,485860,0.7,105486,12074,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Varanasi,267495,0.4,60207,61,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Almora,109250,0.76,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Bageshwar,53864,0.51,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Chamoli,44561,0.78,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Champawat,36217,0.82,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Dehradun,62594,0.81,60,37,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Garhwal,84349,1.1,11,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Hardwar,130090,0.85,57404,11998,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Nainital,50592,1.03,346,34,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Pithoragarh,79813,0.59,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Rudraprayag,26996,0.83,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Tehri Garhwal,86356,0.79,11,124,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Udham Singh Nagar,106434,1.4,43620,18105,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttarakhand,Uttarkashi,39532,0.87,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Bankura,403228,0.96,115240,27084,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Barddhaman,487001,0.98,130312,96665,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Birbhum,311361,0.96,196302,37518,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Dakshin Dinajpur,222568,0.86,149862,18452,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Darjiling,104058,0.65,21157,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Haora,225084,0.42,110220,9810,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Hugli,345770,0.61,131946,106025,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Jalpaiguri,294463,0.77,105491,2927,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Koch Bihar,323118,0.84,178523,51677,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Maldah,392227,0.75,171234,49220,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Murshidabad,598787,0.73,346570,135968,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Nadia,424134,0.82,317416,101214,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,North 24 Parganas,444841,0.63,174887,22519,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Pashchim Medinipur,734012,0.69,157439,120753,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Purba Medinipur,587812,0.53,268424,115909,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Puruliya,319910,0.81,257573,953,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,South 24 Parganas,614401,0.61,210101,12210,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
West Bengal,Uttar Dinajpur,285769,0.86,257852,26791,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
